datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,beta,book_value,calculated_asset_turnover,calculated_cashflow_to_debt,calculated_debt_to_assets,calculated_ebitda_margin,calculated_fcf_yield,calculated_net_margin,calculated_operating_margin,calculated_receivables_turnover,calculated_roa,calculated_roe,cash_per_share,current_ratio,day_high,day_low,debt_to_equity,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,enterprise_value,eps_forward,eps_ttm,ev_to_ebitda,ev_to_revenue,fifty_day_average,fifty_two_week_high,fifty_two_week_low,float_shares,forward_pe,free_cashflow,gross_margin,gross_profits,held_percent_insiders,held_percent_institutions,latest_split_ratio,market_cap,net_income,net_income_margin,net_income_ttm,operating_cashflow,operating_margin,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,quarterly_accounts_payable,quarterly_accounts_receivable,quarterly_capital_expenditure,quarterly_debt,quarterly_depreciation,quarterly_ebit,quarterly_ebitda,quarterly_eps,quarterly_financing_cashflow,quarterly_free_cashflow,quarterly_gross_profit,quarterly_investing_cashflow,quarterly_long_term_debt,quarterly_net_income,quarterly_operating_cashflow,quarterly_operating_expense,quarterly_operating_income,quarterly_research_development,quarterly_revenue,quarterly_selling_general_admin,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,split_frequency,total_cash,total_debt,total_revenue,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-05-23 04:00:00-04:00,2025-05-23,04:00:00,1747987200,1189.21,1189.98,1189.2,1189.2,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1189.2,1189.2,43.72971814506611,0.0,0.0,0.0,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,-0.002917928018836169,0.05235316430406625
2025-05-23 05:00:00-04:00,2025-05-23,05:00:00,1747990800,1189.54,1189.54,1185.73,1185.73,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1188.5690909090908,1188.869523809524,43.72971814506611,-0.2768091168088631,-0.05536182336177262,-0.2214472934470905,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,-0.002917928018836169,0.05235316430406625
2025-05-23 06:00:00-04:00,2025-05-23,06:00:00,1747994400,1186.9,1188.82,1186.9,1188.82,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1188.6147107438017,1188.8648072562362,43.72971814506611,-0.24403211012895554,-0.09309588071520922,-0.15093622941374632,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.0026059895591743487,0.05235316430406625
2025-05-23 07:00:00-04:00,2025-05-23,07:00:00,1747998000,1188.35,1188.52,1180.4,1182.0,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1187.4120360631105,1188.2110160889756,43.72971814506611,-0.7596167104779852,-0.22640004666776442,-0.5332166638102207,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,-0.005736781009740732,0.05235316430406625
2025-05-23 08:00:00-04:00,2025-05-23,08:00:00,1748001600,1182.0,1189.8,1171.0,1178.0,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1185.7007567789085,1187.238538366216,43.72971814506611,-1.4739964775835688,-0.4759193328509253,-0.9980771447326435,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,-0.0033840947546531774,0.05235316430406625
2025-05-23 09:00:00-04:00,2025-05-23,09:00:00,1748005200,1178.55,1183.9,1175.0,1183.62,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1185.3224373645614,1186.8939156646716,43.72971814506611,-1.568578956340616,-0.6944512575488635,-0.8741276987917526,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.004770797962648565,0.05235316430406625
2025-05-23 09:30:00-04:00,2025-05-23,09:30:00,1748007000,1182.300048828125,1189.9649658203125,1180.0999755859375,1185.2801513671875,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1185.3147490014026,1186.740223826816,43.72971814506611,-1.4923727670288827,-0.8540355594448674,-0.6383372075840152,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.0014026050313340477,0.05235316430406625
2025-05-23 10:30:00-04:00,2025-05-23,10:30:00,1748010600,1186.6600341796875,1190.25,1183.2900390625,1187.0,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1185.6211582738747,1186.7649644147382,43.72971814506611,-1.278464063759202,-0.9389212603077344,-0.3395428034514676,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.001451006018137413,0.05235316430406625
2025-05-23 11:30:00-04:00,2025-05-23,11:30:00,1748014200,1188.4599609375,1190.68994140625,1186.050048828125,1188.7099609375,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1186.1827587581702,1186.9502021788107,43.72971814506611,-0.9598952435194406,-0.9431160569500757,-0.016779186569364835,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.0014405736625948684,0.05235316430406625
2025-05-23 12:30:00-04:00,2025-05-23,12:30:00,1748017800,1188.0,1191.4200439453125,1187.1800537109375,1190.239990234375,5021045,0.0,0.0,3528626,1.596,58.721,0.7272178635189082,0.4347099569803055,0.31575328652378964,0.6747222876479521,0.013687723417104376,0.22336962115246067,0.26711169154117875,29.207555732627178,0.19108350204680655,174518139.6774578,19.746,1.341,1232.37,1187.5,67.866,23.78,0.473,0.455,23.44,12624468992,0.30279,514239791104,23.78,23.44,40.734,12.334,1229.9423,1341.15,587.04,421998603,50.045414,22694656000,0.48491,20217477120,0.00555,0.86849,7.0,505695928320,10247879680,10247879680,10247879680,9070451712,0.3407,0.0,50.771328,20.266684,12.1289835,0.24579,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.115,0.15049,0.43548,0.159,97.62,424926016,0.016,6811562,7824689,0.0161,2.4,2,8390519808,16933966848,41693184000,990.182,6.384150041852665,1186.920437208389,1187.2635153269598,43.72971814506611,-0.5773116912330352,-0.8699551838066676,0.2926434925736324,1194.66852486014,1186.8757521972657,1179.0829795343914,66.4053419097205,65.88297933815939,-33.5946580902795,137.87012198730378,32.19393571627813,8.413743295072447,28.715737844540712,11548403.5,1194.97,1182.9850000000001,1171.0,1198.5126367187502,1186.9368266601564,1175.3610166015626,0.0012871342439735312,0.05235316430406625
