datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-05-23 04:00:00-04:00,2025-05-23,04:00:00,1747987200,514.86,515.43,514.5,515.12,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,515.12,515.12,34.75348481491142,0.0,0.0,0.0,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.004542630843298756,0.06361251030799454
2025-05-23 05:00:00-04:00,2025-05-23,05:00:00,1747990800,515.13,515.16,512.77,512.78,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,514.6945454545454,514.8971428571429,34.75348481491142,-0.18666666666672427,-0.037333333333344855,-0.14933333333337942,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.004542630843298756,0.06361251030799454
2025-05-23 06:00:00-04:00,2025-05-23,06:00:00,1747994400,512.83,514.45,512.83,514.0,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,514.5682644628098,514.8117006802721,34.75348481491142,-0.23346628679962578,-0.07655992402660104,-0.15690636277302472,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.002379187955848572,0.06361251030799454
2025-05-23 07:00:00-04:00,2025-05-23,07:00:00,1747998000,513.95,514.26,511.09,512.04,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,514.1085800150262,514.5477291869129,34.75348481491142,-0.4238253477379885,-0.14601300876887854,-0.27781233896910995,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.003813229571984489,0.06361251030799454
2025-05-23 08:00:00-04:00,2025-05-23,08:00:00,1748001600,512.03,515.327,503.27,505.47,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,512.5379291032032,513.6831835500641,34.75348481491142,-1.0922397077581536,-0.33525834856673353,-0.7569813591914201,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.012831028825872837,0.06361251030799454
2025-05-23 09:00:00-04:00,2025-05-23,09:00:00,1748005200,505.44,514.0,504.0,506.16,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,511.3783056298935,512.9666898786294,34.75348481491142,-1.548436260961921,-0.5778939310457711,-0.97054232991615,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.0013650661760342686,0.06361251030799454
2025-05-23 09:30:00-04:00,2025-05-23,09:30:00,1748007000,506.17999267578125,509.6700134277344,505.6000061035156,508.42999267578125,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.8422487291458,512.5346234783582,34.75348481491142,-1.707127178811902,-0.8037405805989974,-0.9033865982129046,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.004484733435635491,0.06361251030799454
2025-05-23 10:30:00-04:00,2025-05-23,10:30:00,1748010600,508.4700012207031,509.5199890136719,507.05999755859375,508.8800048828125,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.4854771207215,512.1865645644967,34.75348481491142,-1.7761048195429794,-0.9982134283877939,-0.7778913911551855,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.0008851016138189394,0.06361251030799454
2025-05-23 11:30:00-04:00,2025-05-23,11:30:00,1748014200,508.8399963378906,510.0249938964844,507.8800048828125,509.010009765625,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.2172103288857,511.8840355360328,34.75348481491142,-1.7995358600105646,-1.158477914712348,-0.6410579452982166,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.0002554725702819116,0.06361251030799454
2025-05-23 12:30:00-04:00,2025-05-23,12:30:00,1748017800,509.0299987792969,511.5899963378906,508.2900085449219,511.510009765625,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.4522647719292,511.84841403408916,34.75348481491142,-1.597955782200188,-1.246373488209916,-0.35158229399027197,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.004911494768346847,0.06361251030799454
