datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-07-17 00:00:00-04:00,2024-07-17,00:00:00,1721188800,551.9256659419783,553.6146513332654,549.7626047710903,550.0885620117188,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,550.0885620117188,550.0885620117188,25.640403160996527,0.0,0.0,0.0,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.007684864309069561,0.1898467761232395
2024-07-18 00:00:00-04:00,2024-07-18,00:00:00,1721275200,551.639276116981,552.6368608446285,543.6586585801087,545.8612060546875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,548.679443359375,549.319951837713,25.640403160996527,-0.33722497662927253,-0.0674449953258545,-0.269779981303418,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.007684864309069561,0.1898467761232395
2024-07-19 00:00:00-04:00,2024-07-19,00:00:00,1721361600,545.6241251105466,547.2637375883105,541.1695973803118,542.236328125,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,546.53173828125,548.0320202535834,25.640403160996527,-0.8867536110958554,-0.23130671847985468,-0.6554468926160006,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.0066406586316821725,0.1898467761232395
2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,546.1970562271703,548.4391502335842,544.2414332553465,547.8267822265625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,546.9634195963542,547.9947042486705,25.640403160996527,-0.8612283837175028,-0.3572910515273843,-0.5039373321901185,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.01030999549752365,0.1898467761232395
2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,547.7180681590119,549.8910159782978,546.4736192248041,546.9674682617188,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,546.9647691514758,547.8079340692246,25.640403160996527,-0.8999646798762342,-0.4658257771971543,-0.4341389026790799,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.0015685869926825857,0.1898467761232395
2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,542.1079180206098,542.414101993874,533.6433387983191,534.57177734375,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,542.8337718822339,545.4013601191383,25.640403160996527,-1.9088876668483863,-0.7544381551274008,-1.1544495117209856,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.0226625743526625,0.1898467761232395
2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,534.690395170986,540.725276974558,530.8384083708338,531.7865600585938,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,539.1513679410206,542.925941926312,25.640403160996527,-2.8997832643821084,-1.1835071769783423,-1.7162760874037661,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.0052101839326345045,0.1898467761232395
2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,535.6089083835121,540.4584791109177,534.8285883698936,537.7423095703125,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,538.6816818174512,541.9834633161303,25.640403160996527,-3.167977480724403,-1.5804012377275545,-1.5875762429968485,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.011199511155495445,0.1898467761232395
2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,539.302981035441,540.3202788158294,536.0435288049198,538.0584716796875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,538.4739451048633,541.2698284731407,25.640403160996527,-3.3167779380141837,-1.9276765777848803,-1.3891013602293034,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.0005879435256408438,0.1898467761232395
2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,539.5400012266922,540.6067321086199,531.8952271888836,535.3323974609375,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,537.4267625568881,540.190295561831,25.640403160996527,-3.613026063733969,-2.264746474974698,-1.348279588759271,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.00506650180646695,0.1898467761232395
2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,542.2264313187045,546.6908455908385,540.8436902827326,544.033935546875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,539.6291535535504,540.8891391954753,25.640403160996527,-3.109815419607912,-2.433760263901341,-0.676055155706571,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.01625445821550975,0.1898467761232395
2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,545.7722853894631,548.043978708858,532.7939193368863,536.3298950195312,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,538.5294007088773,540.06018570894,25.640403160996527,-3.2946899095011304,-2.605946193021299,-0.6887437164798316,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.01416095582272725,0.1898467761232395
2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,529.1592759231037,530.3840119652383,522.0972101428371,526.3443603515625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,534.4677205897724,537.5663992803259,25.640403160996527,-4.198555139660016,-2.9244679823490425,-1.2740871573109733,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.018618269763994943,0.1898467761232395
2024-08-05 00:00:00-04:00,2024-08-05,00:00:00,1722830400,505.3458208606322,517.1389374310326,503.9926492767473,511.01519775390625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.757763100017668,526.6502129778171,532.738908093704,25.640403160996527,-6.081704058376317,-3.555915197554498,-2.5257888608218195,556.6867426292607,533.4419067382812,510.1970708473017,14.152086143482235,18.77620120289997,-85.84791385651776,-3.1633002616382817,32.51504411710174,6.376894685883598,47.74774139039266,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.02912382795821622,0.1898467761232395
2024-08-06 00:00:00-04:00,2024-08-06,00:00:00,1722916800,512.8325541544524,523.2330435892574,511.4991858965925,515.7265625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.355320190958809,523.0089961518781,529.6457543493942,29.766238956531993,-7.111963099751961,-4.26712477799399,-2.8448383217579707,556.6867426292607,533.4419067382812,510.1970708473017,24.121910593367282,18.77620120289997,-75.87808940663272,-3.1633002616382817,32.51504411710174,10.212485506006132,44.992442576053335,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.009219617668519309,0.1898467761232395
2024-08-07 00:00:00-04:00,2024-08-07,00:00:00,1723003200,521.9687339288903,525.0504071552026,511.67693763261536,512.2794189453125,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.669267852249346,519.4324704163563,526.4882388213794,30.042280169236747,-8.113083907474334,-5.036316603890059,-3.0767673035842744,556.6867426292607,533.4419067382812,510.1970708473017,18.054606871850385,18.77620120289997,-81.94539312814962,-3.1633002616382817,32.51504411710174,11.12866668385006,39.58205373103064,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,-0.006684052762334747,0.1898467761232395
2024-08-08 00:00:00-04:00,2024-08-08,00:00:00,1723089600,517.4648133319619,524.7540291225152,515.4203315984915,524.1219482421875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.125015707192489,520.9956296916334,526.0580041706172,40.192536723544706,-7.860277828218614,-5.6011088487557705,-2.259168979462843,556.6867426292607,533.4419067382812,510.1970708473017,43.8562424156157,28.677586626944457,-56.1437575843843,-3.1633002616382817,32.51504411710174,10.672769262845714,36.362422802421456,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.023117323981620252,0.1898467761232395
2024-08-09 00:00:00-04:00,2024-08-09,00:00:00,1723176000,523.2923546548908,527.9345480186581,522.057731966884,526.4332275390625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.10172956027748,522.8081623074431,526.1262266012436,37.990702620918,-7.3882590150542455,-5.958538882015466,-1.4297201330387797,556.6867426292607,533.4419067382812,510.1970708473017,48.89188848098412,36.934245922816736,-51.10811151901588,-3.1633002616382817,32.51504411710174,11.985241801483994,36.438693865859406,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.004409812076419772,0.1898467761232395
2024-08-12 00:00:00-04:00,2024-08-12,00:00:00,1723435200,527.6382775873748,529.1395378593587,524.418371807059,526.7098388671875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.194855938763627,524.1087211606913,526.2323379223243,38.553472263894946,-6.912181160729688,-6.14926733775831,-0.7629138229713774,556.6867426292607,533.4419067382812,510.1970708473017,51.569816128819845,48.10598234180656,-48.430183871180155,-3.1633002616382817,32.51504411710174,11.728021744845236,36.13557218076985,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.0005254442798341419,0.1898467761232395
2024-08-13 00:00:00-04:00,2024-08-13,00:00:00,1723521600,529.9297210019101,535.6089854034836,529.6827964627113,535.3718872070312,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.878785729684804,527.8631098428046,527.8940741559073,50.472016401930844,-5.76942478438275,-6.073298827083199,0.30387404270044893,556.6867426292607,533.4419067382812,510.1970708473017,71.23335058172023,57.231685063841404,-28.766649418279766,-3.1633002616382817,32.51504411710174,16.316513431896126,28.761267333868112,-150346123.2,553.6146513332654,528.8036503050064,503.9926492767473,553.4209166532429,534.0037428956671,514.5865691380912,0.016445579141778577,0.1898467761232395
2024-08-14 00:00:00-04:00,2024-08-14,00:00:00,1723608000,536.171899630215,538.2559884767765,533.4755030571044,537.0608520507812,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.514044073681074,530.9290239121302,529.5607610458844,53.152286204561904,-4.67362216826325,-5.793363495319209,1.1197413270559586,554.7667330259194,532.7905212402344,510.8143094545494,75.06743428707793,65.956866999206,-24.932565712922067,22.507537576349108,32.51504411710174,18.680825086325786,27.853454412772216,-150346123.2,552.6368608446285,528.3147550606878,503.9926492767473,552.7692026301357,533.2591849868102,513.7491673434846,0.0031547507146127973,0.1898467761232395
