,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,89.56546885607521,89.68053757937025,88.5106307675734,88.84626007080078,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.84626007080078,88.84626007080078,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,88.99969071587005,89.21065980448931,88.6928285822885,88.72159576416016,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.82359383322975,88.83438727969215,,-0.009944731014073227,-0.0019889462028146454,-0.007955784811258582,,,,,,,,,,,,,,,,,,-0.001403146362506158,
2,2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,88.78872046778795,89.03804823437031,87.71470667236292,87.76264953613281,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.63069487012122,88.73231701840079,,-0.09411999166815121,-0.02041515529588196,-0.07370483637226925,,,,,,,,,,,,,,,,,,-0.01080848715318894,
3,2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,88.25171253436744,89.04763868854354,88.18458667294115,88.48185729980469,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.60363349370003,88.70846371186784,,-0.10162397836440107,-0.036656919909585785,-0.06496705845481529,,,,,,,,,,,,,,,,,,0.008194918538503959,
4,2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,89.1339511905044,89.32574461542377,88.90380639677224,89.17230987548828,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.7070291994797,88.75263953697454,,-0.051266224258611715,-0.039578780779390976,-0.011687443479220738,,,,,,,,,,,,,,,,,,0.0078033237180377135,
5,2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,89.82438959281467,89.84357259268845,89.39286720587515,89.65177917480469,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,88.87880192226606,88.83827188343456,,0.027020350262731085,-0.026258954570966563,0.05327930483369765,,,,,,,,,,,,,,,,,,0.005376885492659023,
6,2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,89.90110859534838,90.18879506932187,89.46958620055908,89.99700164794922,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,89.08211096329936,88.94862709910261,,0.11558717601874946,0.0021102715469766414,0.11347690447177282,,,,,,,,,,,,,,,,,,0.003850704094465529,
7,2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,90.64909141587152,90.9463620959788,90.37099642124764,90.91759490966797,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,89.41583531718456,89.13614784296597,,0.2570975455542168,0.05310772634842468,0.20398981920579215,,,,,,,,,,,,,,,,,,0.010229154803622631,
8,2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,91.53816648329183,92.27901974940026,91.51892687793276,91.70172882080078,39506403,0.0,0.315,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,89.83145231784204,89.38048888847405,,0.4275895995478294,0.1280041009883056,0.29958549855952377,,,,,,,,,,,,,,,,,,0.008624666236627831,
9,2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,93.32774778531747,94.64588459767005,93.22191160780075,94.55928802490234,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,,90.69105881003482,89.87370785384817,,0.7842466199606406,0.2592526047827726,0.524994015177868,,,,,,,,,,,,,,,,,,0.03116145399707415,
