,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,24.58468866524238,24.612811091881962,24.505004284317078,24.551877975463867,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.551877975463867,24.551877975463867,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,24.54251264708984,24.580009826335594,24.49563893797118,24.561262130737305,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.553584185513582,24.55277170453753,,0.0007485935830615631,0.00014971871661231264,0.0005988748664492505,,,,,,,,,,,,,,,,,,0.00038221741256672104,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,24.52845018927595,24.54719788392716,24.350333679721295,24.378456115722656,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.521742718278865,24.536170219888497,,-0.01325624846650797,-0.002531474720011744,-0.010724773746496226,,,,,,,,,,,,,,,,,,-0.007442859167480442,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,24.41126345513046,24.472196578979492,24.392513976385203,24.472196578979492,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.51273432931534,24.530077492182876,,-0.016599762992363765,-0.005345132374482149,-0.011254630617881616,,,,,,,,,,,,,,,,,,0.0038452173842287163,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,24.46751379505084,24.51438571093746,24.430014831902366,24.48157501220703,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.50706899893201,24.525458208375653,,-0.018282017443272736,-0.007932509388240267,-0.010349508055032468,,,,,,,,,,,,,,,,,,0.000383228093043142,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,24.39834681886184,24.407750906562626,24.323115910901866,24.337221145629883,2237237,0.0,0.0815,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.476187571058894,24.50753086906653,,-0.030907089148076494,-0.012527425340207513,-0.01837966380786898,,,,,,,,,,,,,,,,,,-0.00589642890643971,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,24.290203094482422,24.304308329555205,24.205568096752984,24.290203094482422,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.442372211681352,24.486832985772807,,-0.04419703728014923,-0.01886134772819586,-0.025335689551953373,,,,,,,,,,,,,,,,,,-0.0019319400052336677,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,24.18676101273792,24.19616510109309,24.130338276253365,24.14444351196289,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.388203357187088,24.454224464457575,,-0.06573326490905984,-0.028235731164368658,-0.03749753374469118,,,,,,,,,,,,,,,,,,-0.006000756023017417,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,24.229077204207492,24.384241963213196,24.229077204207492,24.37483787536621,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.38577326958329,24.44666383692506,,-0.06347824315128392,-0.03528423356175171,-0.028194009589532207,,,,,,,,,,,,,,,,,,0.009542334793890106,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,24.365437786760044,24.412456440066055,24.33722551858845,24.39365005493164,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.387205412373895,24.44161490530664,,-0.05948740274152442,-0.04012486739770626,-0.01936253534381816,,,,,,,,,,,,,,,,,,0.0007717868591217147,
