,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,44.58769188605349,44.60656541511903,44.53107129885688,44.559383392333984,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.559383392333984,44.559383392333984,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,44.55938414076042,44.63487465853293,44.531072046807786,44.61600112915039,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.5696775263006,44.56477555774507,,0.004516514617826317,0.0009033029235652635,0.003613211694261054,,,,,,,,,,,,,,,,,,0.0012706131123472186,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,44.61599718701068,44.62543575074681,44.49332465649964,44.52163314819336,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.56094218482655,44.56066675683539,,0.00047569408972236715,0.0008177811567966843,-0.00034208706707431716,,,,,,,,,,,,,,,,,,-0.002115115173228155,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,44.56882132617192,44.597129821777344,44.54051283056649,44.597129821777344,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.56752175518123,44.564139429687,,0.0033269147129786347,0.0013196078680330747,0.00200730684494556,,,,,,,,,,,,,,,,,,0.001695730103446369,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,44.6065677560156,44.66318834618359,44.6065677560156,44.6348762512207,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.57976802718841,44.57087626983307,,0.00853397464732808,0.0027624812238920757,0.005771493423436004,,,,,,,,,,,,,,,,,,0.00084638696692374,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,44.60656541511903,44.616000379773,44.53107129885688,44.559383392333984,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.57606172994215,44.569781710071254,,0.006494104375335041,0.003508805854180669,0.002985298521154372,,,,,,,,,,,,,,,,,,-0.001691342403680407,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,44.559385614967894,44.578259144974844,44.483891494940075,44.54051208496094,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.56959815812738,44.566994126727415,,0.0033165050911634353,0.003470345701577222,-0.00015384061041378693,,,,,,,,,,,,,,,,,,-0.0004235091676850766,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,44.51219802389809,44.58769214059121,44.47445456530914,44.49332809448242,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.555730873828296,44.55997831413265,,-0.0029748269798020033,0.002181311165301377,-0.00515613814510338,,,,,,,,,,,,,,,,,,-0.0010593499775779502,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,44.606567126279515,44.691496210453614,44.58769359648996,44.67262268066406,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.57698392961662,44.57070634904041,,0.006432669890536147,0.003031582910348331,0.0034010869801878157,,,,,,,,,,,,,,,,,,0.004029695998485572,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,44.70092673157484,44.74810875147929,44.68205320366158,44.710365295410156,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.60123508703362,44.58400720107562,,0.01674071596652027,0.00577340952158272,0.01096730644493755,,,,,,,,,,,,,,,,,,0.0008448712540540804,
10,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,44.719800259488096,44.75754731531461,44.70092673157484,44.710365295410156,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.62107694310208,44.59604130529796,,0.0246260430520735,0.009543936227680877,0.015082106824392622,,,,,,,,,,,,,,,,,,0.0,
11,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,44.71980507901955,44.73867860896684,44.691496583977504,44.700931549072266,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.635595962369386,44.60603085232408,,0.029770817635714764,0.013589312509287655,0.01618150512642711,,,,,,,,,,,,,,,,,,-0.0002109968521966099,
12,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,44.73867886664979,44.75755239670578,44.62544128607159,44.6348762512207,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,,44.6354651057969,44.608778033171376,,0.02819298686681293,0.01651004738079271,0.01168293948602022,,,,,,,,,,,,,,,,,,-0.0014777163598715948,
13,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,44.59713263187467,44.64431826053403,44.58769766599764,44.606571197509766,998510,0.0,0.0,0.0,1555614,50.08,50.01,7.75,2.74,49.9624,50.3,48.28,0.426,49.34415,0.09504012132796243,44.6302116679265,44.60856785834646,53.247128247128245,0.024377554066752793,0.01808354871798473,0.006294005348768065,,,,46.66818942018687,,-53.33181057981313,,,19.85800003286225,21.275950366787868,,,,,,,,-0.0006341465707584426,
