,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,pe_ratio,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,36.334538241670096,36.51196081671751,36.110422328061404,36.1197624206543,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,36.1197624206543,36.1197624206543,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,36.04504902994515,36.325194758888465,36.0357125013408,36.25048828125,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,36.14353075894442,36.13221250261579,,0.010428273779716335,0.002085654755943267,0.008342619023773068,,,,,,,,,,,,,,,,,,0.0036192336780418444,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,36.511961064197266,36.60534417975118,35.47543519806104,35.484771728515625,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,36.02375638977555,36.070551476511014,,-0.04260306890478205,-0.006852089976201797,-0.03575097892858025,,,,,,,,,,,,,,,,,,-0.02112293072560989,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,35.89563645163931,36.007696158153294,35.34468869564768,35.382041931152344,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.90708103366224,36.00497913885781,,-0.09186130619478661,-0.02385393321991876,-0.06800737297486785,,,,,,,,,,,,,,,,,,-0.002895038980361475,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,35.48477072709691,35.825612855396905,35.38672113018359,35.662193298339844,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.862555990876345,35.972332868332295,,-0.10705883254442483,-0.04049491308481998,-0.06656391945960485,,,,,,,,,,,,,,,,,,0.007917897099682047,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,35.568815306690674,35.741571401511145,35.44741903567624,35.59682846069336,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.81424189447944,35.936570543795256,,-0.1229599717754084,-0.05698792482293767,-0.06597204695247073,,,,,,,,,,,,,,,,,,-0.001832888883184003,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,35.38204800593767,35.51278079044905,35.218632025298454,35.44741439819336,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.747545986063784,35.889984244214126,,-0.14593594656577125,-0.07477752917150439,-0.07115841739426686,,,,,,,,,,,,,,,,,,-0.004197398166103095,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,35.02720034800892,35.06455359101015,34.47531918470052,34.96183395385742,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.60468925293535,35.801588978465865,,-0.20100974064694554,-0.10002397146659263,-0.10098576918035292,,,,,,,,,,,,,,,,,,-0.013698613920926417,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,34.80308803131356,35.174743181412836,34.5089392574889,34.61632537841797,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.42498673029583,35.688706730842256,,-0.2694299529604507,-0.13390516776536426,-0.13552478519508643,,,,,,,,,,,,,,,,,,-0.00988244998518828,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,34.719045673775454,35.064554272751096,34.70036905191172,35.05521774291992,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.35775600531839,35.62837444627822,,-0.2849537488815841,-0.16411488398860824,-0.12083886489297585,,,,,,,,,,,,,,,,,,0.012678768173804755,
10,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,34.78441280929434,34.97584551581964,34.541623844302805,34.87779235839844,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.270489887696584,35.55689043790872,,-0.3080225228114628,-0.19289641175317918,-0.11512611105828363,,,,,,,,,,,,,,,,,,-0.00506131172319757,
11,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,34.80308801440416,35.120583455512005,34.663015134250195,34.96183395385742,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.21437062699855,35.500218391808595,,-0.31588194750268883,-0.2174935189030811,-0.09838842859960772,,,,,,,,,,,,,,,,,,0.002409601920769111,
12,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,35.055220329837155,35.2886727770595,34.74239490548759,34.84978103637695,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,,35.1480816105219,35.43827197700558,,-0.32737851641871885,-0.23947051840620867,-0.08790799801251017,,,,,,,,,,,,,,,,,,-0.0032050068548564736,
13,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,34.70036626842352,34.961831829139605,34.59764663751332,34.91514205932617,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.5405435879072087,35.105728964849945,35.38845008008373,31.19522937265822,-0.32744100571688506,-0.25706461586834395,-0.07037638984854111,,,,20.64871894215467,,-79.35128105784533,,,5.589834026155485,26.974525599788485,,,,,,,,0.0018755074208642863,
14,2023-08-14 00:00:00-04:00,2023-08-14,00:00:00,1691985600,34.86845499309788,34.86845499309788,34.61632594191479,34.7283821105957,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.5332062756754427,35.03712044589463,35.32558646394201,29.476500006752232,-0.33865667266441335,-0.27338302722755786,-0.06527364543685549,,,,11.880749121874379,,-88.11925087812563,,,5.666754271555255,27.345714998072847,,,,,,,,-0.005348967173415375,
15,2023-08-15 00:00:00-04:00,2023-08-15,00:00:00,1692072000,34.504271769003644,34.59485143082865,34.2941624330974,34.373538970947266,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.5435446628147739,34.916469268631474,35.23491527413299,24.031110036765824,-0.3718911160549112,-0.29308464499302855,-0.07880647106188265,,,,3.4344567650204114,11.987974943016487,-96.56554323497959,,,5.558970857439087,30.077442147687783,,,,,,,,-0.010217669758366688,
16,2023-08-16 00:00:00-04:00,2023-08-16,00:00:00,1692158400,34.41088815075636,34.42489828937293,33.91597011901668,33.95332336425781,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4991888905766397,34.74135183147262,35.11285890176392,26.57147259026864,-0.42721289513033156,-0.3199102950204892,-0.10730260010984238,,,,1.7857618322021434,5.70032257303231,-98.21423816779784,,,6.0529170367023415,30.14455323195574,,,,,,,,-0.012224973606721812,
17,2023-08-17 00:00:00-04:00,2023-08-17,00:00:00,1692244800,33.98133313551408,34.24279870177982,33.68251432772432,33.70119094848633,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.49185152711591734,34.55223167092966,34.97841433478511,25.409932127227123,-0.4858007734973455,-0.35308839071586046,-0.13271238278148506,,,,0.8714774668942101,2.030565354705588,-99.1285225331058,,,6.143213497824067,32.08582873582553,,,,,,,,-0.007425853813088024,
18,2023-08-18 00:00:00-04:00,2023-08-18,00:00:00,1692331200,33.46773896083414,33.88795402785741,33.42104918943183,33.79457092285156,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.49351823527170474,34.41447517127909,34.86566734317239,21.098136909962463,-0.5187176514879823,-0.38621424287028483,-0.1325034086176975,,,,16.09645154333771,6.251230280811355,-83.90354845666229,,,6.122466657468857,35.76174238716752,,,,,,,,0.0027708212005910227,
19,2023-08-21 00:00:00-04:00,2023-08-21,00:00:00,1692590400,33.738545042974984,33.76655819372562,33.22028038088055,33.50509262084961,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.5135281049957123,34.24913288938282,34.73608879818927,19.729610369536175,-0.5616882021931957,-0.421309034734867,-0.14037916745832868,36.44553105479843,34.91187629699707,33.378221539195714,12.423650559899578,9.797193190043833,-87.57634944010042,-163.09799308708884,,5.8839017979923645,37.16083837619551,-11813426.1,36.60534417975118,34.91281228031586,33.22028038088055,35.98448253641133,34.94337714136943,33.902271746327536,-0.008565822677932267,
20,2023-08-22 00:00:00-04:00,2023-08-22,00:00:00,1692676800,33.6358241238028,33.72453718072971,33.4677381013103,33.607810974121094,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.5048568652831769,34.13252890478978,34.62863376732563,23.013601734324652,-0.5807595262489116,-0.45319913303767595,-0.12756039321123563,36.31485307433979,34.78627872467041,33.25770437500103,18.735835325852417,15.751979143029901,-81.2641646741476,-139.11337058616388,,5.984961576404593,34.562156484338416,-13501058.4,36.60534417975118,34.91281228031586,33.22028038088055,35.83764094033312,34.81100948621489,33.78437803209667,0.003065753449299935,
21,2023-08-23 00:00:00-04:00,2023-08-23,00:00:00,1692763200,33.766561521121034,34.13074676557164,33.75722499068454,34.10273361206055,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4727740494230126,34.127111578839006,34.57854803825276,37.431719605597706,-0.5496020964711974,-0.47247972572438024,-0.07712237074681716,36.06993335812876,34.678890991210935,33.28784862429311,42.663724388573286,24.607736758108427,-57.336275611426714,-82.09822025676446,,12.528280649324387,25.677307293162123,-15188690.7,36.60534417975118,34.91281228031586,33.22028038088055,35.75064145750404,34.700664649995524,33.65068784248701,0.014726416972547174,
22,2023-08-24 00:00:00-04:00,2023-08-24,00:00:00,1692849600,34.15876053639483,34.57430556792528,33.93464464102273,33.9439811706543,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.47090669249291345,34.09381514098724,34.51811309848148,39.59533921067888,-0.5315917454302266,-0.48430212966554953,-0.04728961576467705,35.975528167839734,34.60185146331787,33.22817475879601,34.98856363573346,32.12937445005306,-65.01143636426654,-55.465173018636236,,17.63460737353312,25.77912937062366,-16876323.0,36.007696158153294,34.61398826951692,33.22028038088055,35.616406323246515,34.61545432121676,33.614502319187004,-0.004655123639417225,
23,2023-08-25 00:00:00-04:00,2023-08-25,00:00:00,1692936000,34.028021054046356,34.21478368929906,33.850598509766826,34.03736114501953,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.46490357000713545,34.08355077808402,34.472327198151774,32.36233932261335,-0.5039739311846034,-0.4882364899693603,-0.01573744121524312,35.87882412436937,34.53461742401123,33.19041072365309,39.503179650457746,39.05182255825483,-60.49682034954225,-61.43567793183875,,17.862316332727175,27.403304422984988,-18001411.2,35.825612855396905,34.52294661813873,33.22028038088055,35.509329370934715,34.5382595972023,33.56718982346988,0.0027510024205990025,
24,2023-08-28 00:00:00-04:00,2023-08-28,00:00:00,1693195200,34.14941701848578,34.47158247257369,34.14941701848578,34.30816650390625,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.45923410064549536,34.12439000096079,34.456692846318866,40.43880925000576,-0.45499004317573366,-0.481587200610635,0.02659715743490132,35.70413866069654,34.46691608428955,33.22969350788256,52.59573207846859,42.362491788219934,-47.40426792153141,-21.530927965494403,,22.077044454715313,25.2725128640514,-19126499.4,35.741571401511145,34.48092589119585,33.22028038088055,35.442638389783106,34.47250357571973,33.50236876165635,0.007956120855930227,
25,2023-08-29 00:00:00-04:00,2023-08-29,00:00:00,1693281600,34.31750515410155,34.72371364035885,34.16809575034045,34.70036697387695,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4662376412709663,34.22911308694554,34.4798999060863,46.02271408477511,-0.3801406342460396,-0.46129788733771593,0.08115725309167632,35.546794960791885,34.42209300994873,33.29739105910558,71.55734065405781,54.55208412766138,-28.442659345942197,16.47606658288418,,23.390702886451166,24.892884419491182,-19689043.5,35.51278079044905,34.366530585664805,33.22028038088055,35.41555756664637,34.419276200164646,33.42299483368292,0.011431694256411218,
26,2023-08-30 00:00:00-04:00,2023-08-30,00:00:00,1693368000,34.74705941094449,34.933822070527334,34.66768643833725,34.8217658996582,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.44622748131512174,34.336868143802384,34.51245857214077,49.57505803605526,-0.30748160315052075,-0.43053463050027696,0.1230530273497562,35.42673543892995,34.390810585021974,33.354885731113995,91.95740501255824,72.03682591502822,-8.042594987441761,65.58653582471317,45.30935836738535,25.112219889669802,26.00915497622233,-19689043.5,35.2886727770595,34.25447657897003,33.22028038088055,35.37509227290226,34.39001698674101,33.40494170057976,0.0034984911217983417,
27,2023-08-31 00:00:00-04:00,2023-08-31,00:00:00,1693454400,34.80308589512674,34.85911575621674,34.53228024316005,34.56963348388672,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.443559647131579,34.379189114726806,34.51790380183086,45.04024295816682,-0.26716407516685337,-0.39786051943359224,0.13069644426673888,35.37599279665468,34.37120056152344,33.3664083263922,78.74644142940653,80.75372903200753,-21.253558570593462,43.6436658299848,40.72344996785722,25.263259866095854,26.015149708475686,-19689043.5,35.2886727770595,34.25447657897003,33.22028038088055,35.301555015420234,34.381005699302605,33.460456383184976,-0.007240655643312999,
28,2023-09-01 00:00:00-04:00,2023-09-01,00:00:00,1693540800,34.78440913638553,34.83576895163011,34.43890056654109,34.55095672607422,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.450563380537124,34.41041958951724,34.52105169937785,47.32393037190297,-0.23402154731094527,-0.36509272500906287,0.1310711776981176,35.36978806662817,34.36793212890625,33.36607619118433,77.65649083612101,82.78677909269526,-22.343509163878995,38.3399513498023,36.33805434124333,24.870557874100392,27.091123784517958,-19689043.5,35.2886727770595,34.25447657897003,33.22028038088055,35.2667551019855,34.37309933975136,33.47944357751722,-0.0005402648489520878,
29,2023-09-05 00:00:00-04:00,2023-09-05,00:00:00,1693886400,34.4949345535264,34.546294380218185,34.20452248313699,34.2054557800293,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.44429299235418995,34.37315344233761,34.49099494515418,47.45767210420879,-0.23294959614182176,-0.3386640992356147,0.10571450309379293,35.2753005350259,34.325444030761716,33.37558752649753,57.49351796347726,71.29881674300161,-42.50648203652274,-4.04367926985284,31.540722510927957,25.221560601760824,26.062147639544797,-20251587.6,35.2886727770595,34.25447657897003,33.22028038088055,35.22551116310927,34.34203486601472,33.458558568920175,-0.00999975047823165,
30,2023-09-06 00:00:00-04:00,2023-09-06,00:00:00,1693972800,34.196109614192494,34.290426016594836,33.850601028695266,34.14008331298828,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4393570507501409,34.330777055183184,34.45757478970981,53.164509506843785,-0.2346699497631093,-0.31786526934111364,0.08319531957800436,35.20480254021849,34.28855857849121,33.37231461676394,53.67846826635019,62.942825688649485,-46.321531733649806,-38.25843260399603,26.849924419927994,25.504911352774656,25.96035788964905,-20814131.7,35.2886727770595,34.25447657897003,33.22028038088055,35.18289841603348,34.306799010010685,33.43069960398789,-0.0019111707635594,
31,2023-09-07 00:00:00-04:00,2023-09-07,00:00:00,1694059200,34.11206057042968,34.55562222903142,34.065370806945445,34.42021942138672,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.43435469703803214,34.34703930358383,34.454017135583804,62.068872784736364,-0.2109964637564019,-0.2964915082241713,0.0854950444677694,35.124399055692066,34.261477851867674,33.39855664804328,70.0268366831223,60.399607637649915,-29.973163316877706,13.241330928153783,23.05410395772969,30.159732083461606,22.420213200981433,-21376675.8,35.2886727770595,34.25447657897003,33.22028038088055,35.157763058011625,34.27839534190642,33.39902762580121,0.008205489887948225,
32,2023-09-08 00:00:00-04:00,2023-09-08,00:00:00,1694145600,34.48558821036509,34.49025825569974,34.14007966181886,34.19610595703125,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.42601710814198207,34.3195968769379,34.42945416619785,56.45640119731096,-0.20792233981077146,-0.2787776745414914,0.07085533473071992,35.046211734029285,34.22879409790039,33.411376461771496,56.94787480495136,60.21772658480794,-43.052125195048646,6.630960390100001,19.780632474465488,30.749988771564162,18.475119030094394,-21939219.9,34.961831829139605,34.09105610501008,33.22028038088055,35.10391304950296,34.24415526116685,33.38439747283075,-0.006511099235358642,
33,2023-09-11 00:00:00-04:00,2023-09-11,00:00:00,1694404800,34.23346315083677,34.317506165567025,34.037363970533264,34.214786529541016,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4050065119321786,34.30054045013846,34.40900962937339,62.499932811231815,-0.20165416466956287,-0.2633529725671057,0.06169880789754284,34.94469335456349,34.193776321411136,33.44285928825878,50.955364352676,59.31002528024988,-49.044635647324,-5.201750951887299,16.680026757830394,32.345211511201285,17.70425205889006,-22501764.0,34.933822070527334,34.07705122570394,33.22028038088055,35.06375935217141,34.21240586349455,33.361052374817696,0.0005462777701426003,
34,2023-09-12 00:00:00-04:00,2023-09-12,00:00:00,1694491200,34.149420136106514,34.261476301679764,33.92063775908576,34.214786529541016,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4110093307303642,34.284948828211654,34.390512191294114,61.092095448556634,-0.19444514808120772,-0.24957140766992614,0.05512625958871842,34.87592672028084,34.1680965423584,33.46026636443596,38.888549588922125,48.93059624884982,-61.111450411077875,-12.579154857570707,13.370570583435105,31.87280753111231,19.474244080328635,-22783036.05,34.933822070527334,34.07705122570394,33.22028038088055,35.037690553767966,34.18213482257285,33.32657909137773,0.0,
35,2023-09-13 00:00:00-04:00,2023-09-13,00:00:00,1694577600,34.23345930829022,34.23345930829022,33.77589104340734,33.8692741394043,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.40634022168981687,34.20937161206486,34.34087047206651,45.48724483024077,-0.21414340098635165,-0.24248580633321126,0.02834240534685961,34.85580700670457,34.14288330078125,33.42995959485793,8.064650986096987,32.6361883092317,-91.93534901390301,-50.96506207104442,11.343171527448023,25.098485734105186,22.242447721120616,-23064308.1,34.933822070527334,34.07705122570394,33.22028038088055,35.01695994011024,34.159069350176665,33.30117876024309,-0.010098335403566083,
36,2023-09-14 00:00:00-04:00,2023-09-14,00:00:00,1694664000,34.14942361000638,34.550962103208995,34.13074698681072,34.485595703125,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.4093421528971132,34.259594174075794,34.354653827405414,58.895751647500646,-0.1779708715299151,-0.22958281937255204,0.05161194784263695,34.89229690152586,34.16949691772461,33.446696933923356,61.290754206909604,36.081318260642895,-38.7092457930904,53.313459040734315,10.104485471775687,22.71479772694178,22.079331615270966,-22783036.05,34.933822070527334,34.07705122570394,33.22028038088055,35.04878780313004,34.17362123385162,33.2984546645732,0.018197070335312038,
37,2023-09-15 00:00:00-04:00,2023-09-15,00:00:00,1694750400,34.354862213134766,34.48559501067773,34.22879589964579,34.354862213134766,5625441,0.0,0.0,0.0,5397544,42.91,42.65,9.75,3.34,41.6666,45.58,35.76,0.375,36.894592,41.97375,0.40167176889332573,34.27691563572288,34.35467367366535,55.151587174849816,-0.158031294986003,-0.21527251449524223,0.057241219509239244,34.89428248660841,34.20218048095703,33.510078475305654,50.000488471877446,39.78529788829467,-49.99951152812255,40.38558827669056,8.945465628341868,23.148562892001895,21.006384521871688,-22501764.0,34.933822070527334,34.07705122570394,33.22028038088055,35.04248516516354,34.19766705294275,33.352848940721955,-0.003790959307058972,
