,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,371.93951989598725,372.88758098019736,369.68785598453917,371.55438232421875,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,371.55438232421875,371.55438232421875,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,372.2654485413735,375.7416927291985,372.24567780377157,374.07269287109375,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,372.0122569691051,371.79422142392116,,0.20089086983625748,0.0401781739672515,0.160712695869006,,,,,,,,,,,,,,,,,,0.006777771079221173,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,373.0258346336474,374.52693377752786,370.5173923896994,372.82830810546875,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,372.1606299029894,371.89270586978284,,0.25672748604165463,0.08348803638213212,0.1732394496595225,,,,,,,,,,,,,,,,,,-0.0033265854186630417,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,378.30936822449985,379.9289712959523,370.64579672132845,371.93951416015625,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,372.12042704065607,371.8971638021993,,0.22664751180690246,0.11211993146708618,0.11452758033981628,,,,,,,,,,,,,,,,,,-0.002383922910330849,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,376.00832542326555,379.7413480832453,375.49479859843973,378.71429443359375,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,373.31931202119017,372.5464143385226,,0.7409360152098543,0.23788314821563983,0.5030528669942145,,,,,,,,,,,,,,,,,,0.01821473657816397,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,379.02045284460655,380.09690323775925,377.5884606845635,378.91180419921875,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,374.3361287808317,373.1526419443032,,1.151180652852247,0.4205426491429613,0.7306380037092857,,,,,,,,,,,,,,,,,,0.0005215270945091444,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,377.5588218047705,378.79328737007035,375.95895925427294,378.0328674316406,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,375.00826308097874,373.6174253240496,,1.3893639099692336,0.6143069013082159,0.7750570086610178,,,,,,,,,,,,,,,,,,-0.0023196341677337307,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,374.54674731129444,374.54674731129444,368.4929232045065,369.7372741699219,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,374.0499014607866,373.24788711889454,,0.8983847895680128,0.6711224789601753,0.22726231060783753,,,,,,,,,,,,,,,,,,-0.021944105860633445,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,367.31766892960326,371.27784376916316,367.14976836619996,369.1446838378906,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,373.15804371116917,372.857105854037,,0.4562043720025031,0.628138857568641,-0.17193448556613788,,,,,,,,,,,,,,,,,,-0.001602733544681545,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,371.08038966756396,373.40119121277684,366.9128322560507,367.41650390625,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,,372.114127383002,372.3389532875811,,-0.03329269467684526,0.49585254711954374,-0.529145241796389,,,,,,,,,,,,,,,,,,-0.004681578815312282,
