,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,44.58768722871436,44.60656075580849,44.56881370162022,44.59712219238281,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.59712219238281,44.59712219238281,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,44.58769188605349,44.60656541511903,44.53107129885688,44.559383392333984,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.59026059237393,44.59352802094959,,-0.003010502567995843,-0.0006021005135991687,-0.0024084020543966743,,,,,,,,,,,,,,,,,,-0.0008462160380221517,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,44.55938414076042,44.63487465853293,44.531072046807786,44.61600112915039,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.59494068996965,44.59566831696872,,-0.000818336086709337,-0.0006453476282212024,-0.00017298845848813462,,,,,,,,,,,,,,,,,,0.0012706131123472186,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,44.61600483257578,44.625443397929345,44.493332281043116,44.52164077758789,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.58161343317296,44.58861807512293,,-0.00661882246006229,-0.00184004259458942,-0.00477877986547287,,,,,,,,,,,,,,,,,,-0.0021149441719205964,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,44.56881370162022,44.59712219238281,44.54050521085764,44.59712219238281,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.58443320757475,44.589427991052446,,-0.005066625447462059,-0.002485359165163948,-0.0025812662822981107,,,,,,,,,,,,,,,,,,0.0016953870853950725,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,44.6065677560156,44.66318834618359,44.6065677560156,44.6348762512207,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.593604670055825,44.59375639678275,,-0.0007810575622357874,-0.002144498844578316,0.0013634412823425287,,,,,,,,,,,,,,,,,,0.0008465581854144588,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,44.60656541511903,44.616000379773,44.53107129885688,44.559383392333984,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.58738261956094,44.59048277731144,,-0.003436740326165477,-0.0024029471408957485,-0.0010337931852697287,,,,,,,,,,,,,,,,,,-0.001691342403680407,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,44.559389431281595,44.57826296290498,44.48389530478804,44.5405158996582,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.57886139776044,44.58572402705875,,-0.006983337459210759,-0.0033190252045587508,-0.003664312254652008,,,,,,,,,,,,,,,,,,-0.00042342355839297685,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,44.512201840213194,44.587695963378906,44.47445837838826,44.49333190917969,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.56331058165485,44.576924777736934,,-0.013446393285846625,-0.005344498820816326,-0.008101894465030299,,,,,,,,,,,,,,,,,,-0.0010593498868494144,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,44.606570935336144,44.69150002676253,44.58769740393494,44.67262649536133,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.58318620232875,44.58603922703449,,-0.004054103730567249,-0.005086419802766511,0.0010323160721992623,,,,,,,,,,,,,,,,,,0.0040296956529939365,
10,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,44.700934359358776,44.74811638731438,44.682060828224934,44.71037292480469,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.606311060960735,44.59788053158403,,0.00636183948037683,-0.0027967679461378438,0.009158607426514673,,,,,,,,,,,,,,,,,,0.0008449565741848186,
11,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,44.71980789049262,44.7575549527603,44.700934359358776,44.71037292480469,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.625231399841454,44.60859409284314,,0.014449979152985293,0.0006525814736867835,0.01379739767929851,,,,,,,,,,,,,,,,,,0.0,
12,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,44.71980507901955,44.73867860896684,44.691496583977504,44.700931549072266,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,,44.63899506333796,44.617388136293535,,0.01986901041465927,0.004495867261881281,0.01537314315277799,,,,,,,,,,,,,,,,,,-0.0002111674565609123,
13,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,44.73867886664979,44.75755239670578,44.62544128607159,44.6348762512207,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,0.0936917429778461,44.63824618840755,44.619053671048505,52.56469393149413,0.018618894219379456,0.007320472653380917,0.01129842156599854,,,,56.6654235178497,,-43.3345764821503,,,20.144661799412948,21.581763042835224,,,,,,,,-0.0014777163598715948,
14,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,44.59713263187467,44.64431826053403,44.58769766599764,44.606571197509766,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,0.09503985300271214,44.63248709915341,44.61786486404482,50.618115757584825,0.015169324320559952,0.008890242986816725,0.006279081333743226,,,,46.6670497213022,,-53.3329502786978,,,19.85891619205653,24.11230878266643,,,,,,,,-0.0006341465707584426,
15,2023-08-14 00:00:00-04:00,2023-08-14,00:00:00,1691985600,44.57826296290498,44.60657146046102,44.53107733396747,44.5405158996582,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,0.09503985373352666,44.61576506288155,44.610498296008,48.80985610472111,0.00702443155901733,0.008517080701256848,-0.0014926491422395174,,,,23.33391755674471,42.222130265298865,-76.66608244325529,,,19.858916039350234,25.531106571038087,,,,,,,,-0.0014808423081675848,
16,2023-08-15 00:00:00-04:00,2023-08-15,00:00:00,1692072000,44.54994890179605,44.61600445968709,44.49333190917969,44.49333190917969,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,0.09638770650368807,44.59350448948121,44.599339592500534,42.168938762986016,-0.0032009102331613803,0.006173482514373203,-0.009374392747534583,,,,6.666817086462222,25.555928121503044,-93.33318291353778,,,17.483345701289103,27.971231073113543,,,,,,,,-0.0010593498868494144,
17,2023-08-16 00:00:00-04:00,2023-08-16,00:00:00,1692158400,44.521637218201214,44.549945712482796,44.436708135598785,44.45558166503906,1090365,0.0,0.0,0.0,1560363,50.14,50.11,7.75,2.74,49.9624,50.3,48.28,0.426,49.3395,0.09503959650352962,44.56842761230991,44.58564836131373,45.45430681919603,-0.014187155782607874,0.0021013548549769882,-0.016288510637584862,,,,5.882411303702122,11.961048648969685,-94.11758869629789,,,17.731342052738885,29.78725379198048,,,,,,,,-0.000848447228400051,
