,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,80.59426347832171,80.89223175804786,80.23863456355787,80.74805450439453,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,80.74805450439453,80.74805450439453,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,81.1998047980921,82.50699182688409,81.07484775870171,82.19941711425781,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.01193861527875,80.8862795148577,,0.11577821389224141,0.023155642778448282,0.09262257111379313,,,,,,,,,,,,,,,,,,0.01797396381586247,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,81.62271653690094,82.14175024637025,81.27669406392138,81.92068481445312,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.17716519694682,80.98479430529537,,0.18293317563087896,0.05511114934893442,0.12782202628194456,,,,,,,,,,,,,,,,,,-0.0033909279358665945,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,82.20902337689321,82.44931632834357,81.3151333041715,81.39202880859375,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.21623130815534,81.02357854370473,,0.19129076426774816,0.08234707233269717,0.10894369193505099,,,,,,,,,,,,,,,,,,-0.006453266437612903,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,82.2763025205972,82.28591629163714,81.53620348001218,81.95911407470703,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.35130090207383,81.11267716570495,,0.2408963519293792,0.11405692825203358,0.12683942367734563,,,,,,,,,,,,,,,,,,0.0069673317450640315,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,82.1513543904142,82.52621080334816,81.9206752131838,82.39164733886719,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.54045479967262,81.23448384886325,,0.3115199490681846,0.15354953241526378,0.1579704166529208,,,,,,,,,,,,,,,,,,0.005277427276311197,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,81.98795728634558,82.36281370083826,81.69960281373942,82.02639770507812,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.62880805520089,81.30990421612181,,0.3341650193553818,0.18967262980328742,0.14449238955209437,,,,,,,,,,,,,,,,,,-0.004433090556944852,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,81.27668001456927,81.74765944719852,80.90182362249843,81.00755310058594,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.51585260890727,81.28110887178507,,0.26682338210687817,0.20510278026400558,0.06172060184287259,,,,,,,,,,,,,,,,,,-0.01242093561337887,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,80.76726462246017,81.18056878692992,80.36357422920847,80.50775146484375,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.3325614918048,81.2074557854097,,0.17115190184320284,0.19831260457984504,-0.0271607027366422,,,,,,,,,,,,,,,,,,-0.006169815240828158,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,80.91144202979372,81.49775741163822,80.25784491559781,80.32512664794922,6794895,0.0,0.0,0.0,5149657,79.114,92.01,90.58,26.5,1.94,88.177,97.87,73.12,0.438,6611945472,28.659172,1.1619941,71923696,88.4625,,81.14939152019468,81.1234244389849,,0.07967680340182426,0.1745854443442409,-0.09490864094241663,,,,,,,,,,,,,,,,,,-0.002268412836921474,
