,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,174.34896996365578,174.7727378601144,173.2156088901144,173.88577270507812,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,173.88577270507812,173.88577270507812,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,174.44750481054132,176.4579811197763,174.4179403093374,175.87652587890625,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.2477278275923,174.07536824544272,,0.15880652098911696,0.031761304197823394,0.12704521679129357,,,,,,,,,,,,,,,,,,0.011448625973584203,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,174.033541312033,174.457324115122,172.28917604491275,173.51121520996094,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.1138164425684,174.02163938492063,,0.09273207215034063,0.043955457788326845,0.04877661436201378,,,,,,,,,,,,,,,,,,-0.013448700201036834,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,175.85682952889732,176.3890056439329,172.22024512281564,173.0086669921875,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,173.91288017886276,173.92516582370797,,-0.00018175068990444743,0.03512801609268059,-0.03530976678258504,,,,,,,,,,,,,,,,,,-0.002896344292012021,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,174.61503674708578,175.88637041221227,174.25039788460336,175.36404418945312,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.17672818078827,174.06220185854085,,0.11491792807115075,0.051085998488374626,0.06383192958277613,,,,,,,,,,,,,,,,,,0.013614215046070521,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,175.5217313217152,175.98492854324246,174.76287405952675,175.7681121826172,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.46607072657537,174.22466950845288,,0.23601947723238936,0.08807269423717759,0.14794678299521177,,,,,,,,,,,,,,,,,,0.0023041667123480103,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,175.19651602910474,176.43827021995878,174.73331878312612,176.0637664794922,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.75656086346933,174.3998216009328,,0.3517948858446971,0.1408171325586815,0.2109777532860156,,,,,,,,,,,,,,,,,,0.0016820701616675482,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,174.51649629231733,174.62490447455176,171.08687885837486,171.70774841308594,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,174.202231327036,174.14343367828073,,0.09100443560436133,0.13085459316781747,-0.03985015756345614,,,,,,,,,,,,,,,,,,-0.024741138699390652,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,170.30829788605416,172.01324917284197,170.19988970955933,171.00802612304688,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,173.62146674449252,173.8448234349251,,-0.17017395664524315,0.07064888320520535,-0.2408228398504485,,,,,,,,,,,,,,,,,,-0.004075076963653945,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,170.4265709609936,171.45152381815052,168.41610964563984,168.6822052001953,6715917,0.0,0.0,0.0,5613383,149.355,261.2145,256.97,20.0,0.61,243.2582,263.01,172.45,0.398,70410813440,38.494736,1.7328513,272056000,229.4655,,172.72341919098392,173.353145507808,,-0.5583971699840049,-0.0551603274326367,-0.5032368425513682,,,,,,,,,,,,,,,,,,-0.013600653580891242,
