,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,34.167851925352316,34.58429714257053,34.15816878528801,34.47776412963867,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.47776412963867,34.47776412963867,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,34.38091931942002,34.4583992207974,34.2259632111103,34.2550163269043,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.43726452914151,34.45655005318778,,-0.017769055488777497,-0.0035538110977554995,-0.014215244391021998,,,,,,,,,,,,,,,,,,-0.006460622037346431,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,34.216281565603175,34.56493005369907,34.16785477790398,34.45840072631836,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.441107474082756,34.456726307771646,,-0.015263787266171391,-0.0058958063314386785,-0.009367980934732713,,,,,,,,,,,,,,,,,,0.005937361041463696,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,34.45840206765074,34.54556142223359,33.97416372737085,34.022586822509766,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.365012810160394,34.41537969012766,,-0.04789280548942543,-0.01429520616303603,-0.033597599326389394,,,,,,,,,,,,,,,,,,-0.012647537164304112,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,34.293757011417206,34.30344015207406,33.90636488513088,34.09037780761719,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.315079173334354,34.384427129888564,,-0.06750323627696986,-0.024936812185822797,-0.04256642409114706,,,,,,,,,,,,,,,,,,0.0019925288297764077,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,34.158168153526105,34.32280739268855,34.07100511677986,34.216278076171875,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.29711533748663,34.3684129342965,,-0.07205493998618806,-0.03436043774589585,-0.03769450224029221,,,,,,,,,,,,,,,,,,0.0036931320991859806,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,34.148481319196065,34.24533119027235,34.03226516834934,34.216278076171875,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.28241765361122,34.35392390018939,,-0.07479995069869716,-0.042448340336456114,-0.032351610362241046,,,,,,,,,,,,,,,,,,0.0,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,33.92573165893555,34.051634642262485,33.73203930851844,33.92573165893555,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.217565654579275,34.313143686736645,,-0.09927567100001511,-0.05381380646916792,-0.04546186453084719,,,,,,,,,,,,,,,,,,-0.008491467616364212,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,33.72235352616711,34.022582589789735,33.62550734793782,33.94510269165039,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.16802693404675,34.278092163395094,,-0.115775190894162,-0.06620608335416674,-0.04956910753999526,,,,,,,,,,,,,,,,,,0.0005709834915157419,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,33.916046093819,34.245328238203435,33.78045998044502,33.809513092041016,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.102842599136615,34.2334655851709,,-0.13819905413170375,-0.08060467750967414,-0.05759437662202961,,,,,,,,,,,,,,,,,,-0.003994378831050804,
10,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,34.02257996688534,34.342175285959335,34.01289313314227,34.2840690612793,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.135792864980736,34.23828496384789,,-0.11633637332009528,-0.08775101667175836,-0.028585356648336918,,,,,,,,,,,,,,,,,,0.014036166919836335,
11,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,33.83857701896213,34.003219990999,33.57708784768875,33.97416687011719,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.10640632046009,34.21313085968306,,-0.12260326402113719,-0.09472146614163413,-0.027881797879503067,,,,,,,,,,,,,,,,,,-0.009039247663636174,
12,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,33.95478705729149,34.05163322847911,33.683611127965854,33.72235107421875,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,,34.03657809387075,34.16638992773408,,-0.1462039026874038,-0.10501795345078807,-0.041185949236615726,,,,,,,,,,,,,,,,,,-0.007411978544201725,
13,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,33.89668058930891,34.14848287670226,33.66424458256928,33.751407623291016,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.4247451343330338,33.98472891740171,34.126867803501405,35.849140737173485,-0.16071038886531852,-0.11615644053369417,-0.04455394833162435,,,,17.307204817120482,,-82.69279518287952,,,9.934590477864996,19.21812895536522,,,,,,,,0.0008616406669961219,
14,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,33.644876232124055,33.87730853011974,33.56739633649565,33.81919860839844,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.41644397978600367,33.954632497582935,34.097565975396364,37.50001810132979,-0.16483658419426206,-0.12589246926580777,-0.03894411492845429,,,,25.242482290093893,,-74.75751770990611,,,10.132620885125508,21.26235551674075,,,,,,,,0.00200853801014933,
15,2023-08-14 00:00:00-04:00,2023-08-14,00:00:00,1691985600,33.72235450786543,33.81920068891404,33.59645151694626,33.751407623291016,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.4143688550316753,33.917682520438944,34.064598513291095,39.84376923266291,-0.17159870659223486,-0.13503371673109318,-0.03656498986114168,,,,18.446623269160423,20.332103458791597,-81.55337673083957,,,10.183364207577533,21.368835624336548,,,,,,,,-0.002004511871862791,
16,2023-08-15 00:00:00-04:00,2023-08-15,00:00:00,1692072000,33.4705493462348,33.50928559866082,33.092840405912504,33.1315803527832,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.43304685085906264,33.77475485359244,33.975739640861775,27.090227426018046,-0.2243860353879441,-0.15290418046246337,-0.07148185492548073,,,,2.6667162129178132,15.451940590724044,-97.3332837870822,,,7.986975172494451,28.753937704395405,,,,,,,,-0.018364486525299317,
17,2023-08-16 00:00:00-04:00,2023-08-16,00:00:00,1692158400,33.073473446397266,33.334958846282426,33.04441663961978,33.08315658569336,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.41298574455905573,33.64900971397442,33.89073173084574,31.27402851789668,-0.26704938796852673,-0.17573322196367605,-0.09131616600485068,,,,2.98514259048445,8.032827357520896,-97.01485740951556,,,8.374948752846485,27.63819057728716,,,,,,,,-0.001461559230626186,
18,2023-08-17 00:00:00-04:00,2023-08-17,00:00:00,1692244800,33.189690305879694,33.23811339229356,32.82166819913382,32.91851806640625,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.41436931071738164,33.51619305078021,33.79813995328007,27.509298034966477,-0.310565350782845,-0.20269964772750984,-0.10786570305533513,,,,6.369576841278218,4.007145214893494,-93.63042315872178,,,8.34698506110471,30.216913353846554,,,,,,,,-0.004976505759378025,
19,2023-08-18 00:00:00-04:00,2023-08-18,00:00:00,1692331200,32.686083388070905,33.0056824211989,32.6570302739483,32.90883255004883,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.42128715867037464,33.40576386882905,33.71344401011519,23.735468791907735,-0.3418924813492623,-0.23053821445186035,-0.11135426689740197,34.80009056836049,33.838086891174314,32.87608321398814,14.942469301204458,8.099062910989042,-85.05753069879555,-194.96684650503502,,7.8815528673057385,32.512139182133524,19253858.4,34.58429714257053,33.620663708259414,32.6570302739483,34.666455719402975,33.84712571833239,33.02779571726181,-0.00029422698609593567,
20,2023-08-21 00:00:00-04:00,2023-08-21,00:00:00,1692590400,32.95725351581813,33.02504657403461,32.60860139102217,32.87009048461914,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.43581424160533394,33.30836870806361,33.63312462673461,23.371680467711286,-0.3656308540341584,-0.25755674236832,-0.10807411166583841,34.762375656421426,33.75770320892334,32.75303076142525,15.083815830443669,12.131953990975447,-84.91618416955633,-163.01820240362068,,7.618835495478082,31.58720413219505,11231417.4,34.56493005369907,33.586765722360624,32.60860139102217,34.586879208512286,33.768517524868706,32.950155841225126,-0.0011772543243753208,
21,2023-08-22 00:00:00-04:00,2023-08-22,00:00:00,1692676800,32.879775847614,32.91851579184617,32.51175376629723,32.560176849365234,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.43028018859786954,33.17233382466391,33.530939124128004,23.193971017271025,-0.4047850160265156,-0.2870023970999591,-0.1177826189265565,34.781551326241676,33.67296123504639,32.5643711438511,2.645460761242626,10.890581964296919,-97.35453923875738,-156.01533585884593,,7.716825225436417,28.617287200933657,3208976.4,34.56493005369907,33.53834190999815,32.51175376629723,34.51989311335928,33.68603531901365,32.852177524668015,-0.009428438762555946,
22,2023-08-23 00:00:00-04:00,2023-08-23,00:00:00,1692763200,32.61829448657521,32.88946677149896,32.56987139204529,32.879783630371094,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.42543838004657025,33.11914288024703,33.46892431519878,31.29272936028714,-0.40535272148414947,-0.3106724619767972,-0.09468025950735226,34.69189729532003,33.59403038024902,32.496163465178014,20.106290279071885,12.611855623586061,-79.89370972092811,-116.8451787333804,,7.804648496955339,27.154365238831307,-4813464.6,34.54556142223359,33.52865759426541,32.51175376629723,34.43224684859304,33.605167589613544,32.77808833063405,0.00981587976270748,
23,2023-08-24 00:00:00-04:00,2023-08-24,00:00:00,1692849600,32.83136195232966,33.22843725571898,32.76356887817383,32.76356887817383,32089764,0.0,0.0,0.0,35515272,34.017,52.745,52.47,26.5,1.38,51.39,53.27,40.66,0.172,1.231,46539882496,18.680027,1.5486375,883444992,1,49.57295,0.425438388602766,33.05449306168827,33.40174760691069,31.50712094683368,-0.4104487932118914,-0.3306277282238161,-0.07982106498807534,34.669127696630596,33.53107948303223,32.39303126943386,13.757219808204665,12.169656949506392,-86.24278019179533,-84.98226868547663,,9.755994106750835,27.154364692716825,-12835905.6,34.342175285959335,33.42696452612829,32.51175376629723,34.358481634193836,33.5420553069461,32.72562897969836,-0.0035345351874492836,
