,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,131.82537717209703,132.41561173824903,131.41898833768388,131.53509521484375,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,131.53509521484375,131.53509521484375,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,130.65455731341993,132.00918653981594,130.48039702617666,131.47702026367188,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,131.5245361328125,131.5295642671131,,-0.0046327596376443125,-0.0009265519275288626,-0.00370620771011545,,,,,,,,,,,,,,,,,,-0.00044151677601345085,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,130.8480866103268,131.8156832290086,130.50943665239976,131.3899383544922,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,131.50006380948153,131.5162665611492,,-0.015156324648557984,-0.003772506471734687,-0.011383818176823296,,,,,,,,,,,,,,,,,,-0.0006623355853748736,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,131.58346043769484,132.0575732990476,130.39330604825648,130.42233276367188,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,131.3041127102434,131.41208238996086,,-0.1004164717208198,-0.023101299521551714,-0.07731517219926809,,,,,,,,,,,,,,,,,,-0.007364381191881653,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,130.81905785790065,131.03193029184746,130.0643336882175,130.80938720703125,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,131.2141626187503,131.35468284872945,,-0.13519524705969843,-0.04552008902918106,-0.08967515803051737,,,,,,,,,,,,,,,,,,0.0029677006625907776,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,130.57718095359303,130.62556374488804,129.31930220169718,129.8031005859375,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,130.95760588551158,131.20691310941595,,-0.24117646535191284,-0.08465136429372742,-0.1565251010581854,,,,,,,,,,,,,,,,,,-0.007692770699255003,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,129.5031250217753,129.97725266955538,128.80645429066476,129.12576293945312,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,130.62454353168278,131.00870833132424,,-0.37549436640750855,-0.14281996471648367,-0.23267440169102488,,,,,,,,,,,,,,,,,,-0.005218193120401948,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,129.15479141430876,130.03530787316376,128.86450947833592,129.2128448486328,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,130.3678710438555,130.83767371392506,,-0.46950334608735034,-0.208156640990657,-0.26134670509669333,,,,,,,,,,,,,,,,,,0.0006743960863992982,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,128.7871025073036,128.95159214371267,128.3129748981119,128.56454467773438,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,130.03999352274258,130.62118523428785,,-0.5895228925624849,-0.2844298913050226,-0.3050930012574623,,,,,,,,,,,,,,,,,,-0.00501730436829162,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,128.60328603181716,129.3967076797645,127.79050831508445,128.10980224609375,16676043,0.0,0.0,0.0,12345419,127.256,133.81,131.31,25.25,1.78,133.6164,159.64,127.35,0.63,26360825856,23.739567,1.0493022,197415008,141.57996,,129.68904965426097,130.3820059020789,,-0.7131128407002336,-0.3701664811840648,-0.3429463595161688,,,,,,,,,,,,,,,,,,-0.003537074959356068,
