,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,25.30885460436362,25.30885460436362,25.209922790527344,25.209922790527344,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.209922790527344,25.209922790527344,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,25.200928955401704,25.227909579722137,25.110989538279625,25.137971878051758,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.19684080644087,25.203070322672527,,-0.005739673929678446,-0.0011479347859356893,-0.0045917391437427565,,,,,,,,,,,,,,,,,,-0.0028540711161012533,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,25.272879102244044,25.38080502597186,25.272879102244044,25.371810913085938,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.22865355310361,25.219140855092853,,0.008482666087459734,0.0007781853887433954,0.007704480698716338,,,,,,,,,,,,,,,,,,0.009302223591010739,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,25.34483243151702,25.362820658808868,25.26388712415547,25.335838317871094,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.248141692152238,25.230254899166972,,0.016659247780758335,0.0039543978671463835,0.01270484991361195,,,,,,,,,,,,,,,,,,-0.0014178174091740159,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,25.362819458249604,25.39879419567865,25.308854778928495,25.38080596923828,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.272262469804247,25.244593096316624,,0.026462715623534194,0.008456061418423946,0.01800665420511025,,,,,,,,,,,,,,,,,,0.0017748633695482408,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,25.488734234338686,25.533703086085133,25.452757780580143,25.49772834777832,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.31325626579953,25.268701215503455,,0.04316906717165736,0.01539866256907063,0.02777040460258673,,,,,,,,,,,,,,,,,,0.004606724415361363,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,25.542696898541692,25.632636316426517,25.542696898541692,25.58766746520996,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.363149211146883,25.299078953570742,,0.06294076430878448,0.0249070829170134,0.03803368139177108,,,,,,,,,,,,,,,,,,0.0035273384438374578,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,25.623642224849934,25.641630451532514,25.533702806888744,25.569679260253906,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.40070012916634,25.32485041135009,,0.07627918002589595,0.035181502338789916,0.04109767768710604,,,,,,,,,,,,,,,,,,-0.0007030029204698751,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,25.416783299666633,25.461752151868474,25.38080684554376,25.44376564025879,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.40853022209224,25.33617567124616,,0.07581583598668828,0.043308369068369594,0.03250746691831869,,,,,,,,,,,,,,,,,,-0.004924333180465035,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,25.461750030517578,25.506720594424436,25.443763520406442,25.461750030517578,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.418206550896844,25.348135134033917,,0.07602347123602726,0.049851389501901135,0.026172081734126128,,,,,,,,,,,,,,,,,,0.0007068289542146999,
10,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,25.614647145614505,25.659617710625177,25.578672409057617,25.578672409057617,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.44738216147153,25.370091064988557,,0.0846469253891513,0.056810496679351175,0.02783642870980013,,,,,,,,,,,,,,,,,,0.004592079428943352,
11,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,25.569678083334747,25.59665870666504,25.533701631625505,25.59665870666504,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.47452335150671,25.391668935624413,,0.09187335992920964,0.06382306932932287,0.02805029059988677,,,,,,,,,,,,,,,,,,0.0007031755722026745,
12,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,25.542696642502722,25.641630172729492,25.47973956524994,25.641630172729492,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,,25.504906409910852,25.415474767729656,,0.1000755739138306,0.07107357024622442,0.029002003667606177,,,,,,,,,,,,,,,,,,0.0017569272060007357,
13,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,25.668614161585445,25.713583015240335,25.623643592478746,25.695594787597656,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,0.1297689437953391,25.539577024035722,25.442152864859942,74.5456823921803,0.10966621712302072,0.07879209962158368,0.030874117501437037,,,,97.01486519014348,,-2.985134809856511,,,38.613885557092246,19.801900261411053,,,,,,,,0.0021045703609576805,
14,2023-08-14 00:00:00-04:00,2023-08-14,00:00:00,1691985600,25.821508644436868,25.857485099296223,25.71358271076237,25.785533905029297,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,0.13426597935693124,25.584296456943644,25.474855821066548,76.66689052106234,0.12310512681567332,0.08765470506040161,0.0354504217552717,,,,90.3614705800874,,-9.638529419912603,,,44.976063202840294,19.13866561262532,,,,,,,,0.0035001765156668085,
15,2023-08-15 00:00:00-04:00,2023-08-15,00:00:00,1692072000,25.731569975635992,25.81251528058979,25.70458763550082,25.794527053833008,2120646,0.0,0.0,0.0,1232701,27.1776,27.0515,2.0,4.9,27.3348,30.69,26.81,1.317,28.59445,0.1336236653316783,25.622520201832618,25.505300700377642,82.30112079514147,0.1329486818718557,0.09671350042269244,0.03623518144916327,,,,89.39382408636301,92.25671995219795,-10.606175913637,,,45.19225811205896,14.423015020423014,,,,,,,,0.0003487672133077879,
