,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,64.39321542093356,64.50592491607547,63.82968227664936,64.13023376464844,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,64.13023376464844,64.13023376464844,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,64.05508604571791,64.44017139807367,63.857849828308304,64.24293518066406,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,64.15072493119672,64.1409672328404,,0.008990426348830738,0.0017980852697661476,0.0071923410790645905,,,,,,,,,,,,,,,,,,0.0017573835209960809,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,64.07387454206842,64.95674756203583,63.94238373046202,64.24293518066406,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,64.16749043109988,64.15067846596646,,0.015931752675129474,0.004624818750838813,0.01130693392429066,,,,,,,,,,,,,,,,,,0.0,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,63.98933009474947,64.26170592125118,62.97497359604904,63.10646438598633,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,63.974576604715594,64.05122950596837,,-0.06947008356973328,-0.010194161713275605,-0.05927592185645767,,,,,,,,,,,,,,,,,,-0.01769020658040843,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,63.519718726099526,63.77331322762373,62.65563433613632,62.965579986572266,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,63.79112267414408,63.947834313644925,,-0.1468273138166012,-0.037520792133940724,-0.10930652168266047,,,,,,,,,,,,,,,,,,-0.0022324876030505036,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,63.21917858618737,63.47277313289468,62.702609575800736,62.99376678466797,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,63.64614887605751,63.85697073945664,,-0.2035130651440653,-0.07071924673596564,-0.13279381840809967,,,,,,,,,,,,,,,,,,0.00044765406912339323,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,62.91862232854792,63.24734934020682,62.1860286552191,62.22359848022461,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,63.38750334954243,63.70141147667264,,-0.3070436687876352,-0.11798413114629956,-0.18905953764133565,,,,,,,,,,,,,,,,,,-0.012226103371084762,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,61.97001111857672,62.514755666878,61.86669589123943,62.22359848022461,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,63.175884282393724,63.560667381772824,,-0.384658316442426,-0.17131896820552486,-0.21333934823690112,,,,,,,,,,,,,,,,,,0.0,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,62.035754965634915,62.08271187143099,60.749015362873486,60.80536651611328,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,62.74488105216091,63.29825777551953,,-0.5542192561416073,-0.24789902579274137,-0.3063202303488659,,,,,,,,,,,,,,,,,,-0.022792509574354747,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,60.965036319917736,61.35950869981989,59.837963164283394,60.100948333740234,11426793,0.0,0.0,0.0,11551637,63.99,85.0992,84.11,26.75,2.79,81.5126,85.1,70.18,0.557,13886453760,21.889736,1.329114,163274000,79.31565,,62.26416601244806,62.993752114397694,,-0.7369431606976065,-0.3457078527737144,-0.39123530792389205,,,,,,,,,,,,,,,,,,-0.011584802834571861,
