,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,101.74059518349901,101.8540631299121,101.62713445101855,101.79733276367188,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.79733276367188,101.79733276367188,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,101.7595089091026,101.86351938859902,101.43802000504121,101.61767578125,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.76466785777698,101.7802225748698,,-0.014331611133357569,-0.002866322226671514,-0.011465288906686055,,,,,,,,,,,,,,,,,,-0.0017648496040555406,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,101.57984939601182,101.74059023516297,101.39074337512014,101.6554946899414,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.74481819089779,101.76834372868613,,-0.022379865189719794,-0.00676903081928117,-0.015610834370438625,,,,,,,,,,,,,,,,,,0.0003721686055171425,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,101.4853063580798,101.58931684397055,100.7761478891517,100.90852355957031,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.59276462156551,101.68645609353224,,-0.08801787674279637,-0.02301880000398421,-0.06499907673881217,,,,,,,,,,,,,,,,,,-0.0073480644863263,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,100.96524919396472,101.29618835449219,100.94634147647716,101.29618835449219,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.5388416639158,101.64928773743318,,-0.10751578959839492,-0.039918197922866355,-0.06759759167552856,,,,,,,,,,,,,,,,,,0.0038417447926786252,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,101.25834415262186,101.46636507037094,101.13542598028427,101.32453918457031,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.49987757676206,101.61835930382719,,-0.11930507630697207,-0.055795573599687495,-0.06350950270728457,,,,,,,,,,,,,,,,,,0.00027988052204808156,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,100.96546067186347,101.02231551032766,100.66226137247331,100.7191162109375,3951221,0.0,0.221,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.35792096479395,101.53271710450437,,-0.17547794468687528,-0.07973204781712506,-0.09574589686975021,,,,,,,,,,,,,,,,,,-0.005975087362894316,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,100.45378387932259,100.59591009455855,100.18848546626324,100.5390625,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,101.20903760755868,101.43808333264681,,-0.2318515370856602,-0.11015594567083209,-0.12169559141482811,,,,,,,,,,,,,,,,,,-0.0017876816011809238,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,100.10323086836081,100.14113168070485,99.8853030045928,99.91372680664062,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,100.97352655284631,101.29290652064623,,-0.3232610276138388,-0.15277696205943345,-0.17048406555440535,,,,,,,,,,,,,,,,,,-0.006219828172352115,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,100.29271343558554,100.91806590705067,100.29271343558554,100.88016510009766,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,100.95655174325563,101.25359781392731,,-0.314099470827486,-0.18504146381304398,-0.12905800701444203,,,,,,,,,,,,,,,,,,0.009672727905819523,
10,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,100.84226663894071,101.05071746761142,100.719094435108,100.96543884277344,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,100.95816757953159,101.22615410238885,,-0.2965396679942245,-0.2073411046492801,-0.08919856334494439,,,,,,,,,,,,,,,,,,0.0008452974139283587,
11,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,101.13599187212273,101.29707211742175,100.88964745712926,100.94649505615234,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,100.95604530255355,101.19951990750918,,-0.2809138035334513,-0.22205564442611436,-0.05885815910733694,,,,,,,,,,,,,,,,,,-0.0001876264476063927,
12,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,100.94648670121015,101.01281130419439,100.8422612924007,100.89910888671875,3951221,0.0,0.0,0.0,2309265,125.295,110.185,109.9845,48.0,2.47,109.0408,111.51,106.04,0.38,19561216000,12.36854,0.8785666,177700000,108.7019,,100.94569322694721,101.17090933410057,,-0.2692501135143317,-0.23149453824375785,-0.037755575270573855,,,,,,,,,,,,,,,,,,-0.00046941866983329916,
