,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,76.33913162244141,76.3976565252181,75.85146626600496,76.21234130859375,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.21234130859375,76.21234130859375,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,76.29037443514758,76.42692014839598,75.870981904118,75.93925476074219,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.16268920898438,76.18633306594123,,-0.021784681879907453,-0.00435693637598149,-0.01742774550392596,,,,,,,,,,,,,,,,,,-0.0035832326256163283,
2,2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,75.6661607462149,76.00752501766011,75.37355854715726,75.87097930908203,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.10965104536577,76.15629937481177,,-0.0440506688768636,-0.012295682876157912,-0.031754986000705684,,,,,,,,,,,,,,,,,,-0.0008990798220929186,
3,2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,76.13431515718001,76.93408606605912,75.78319549560547,75.78319549560547,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.05029549086389,76.12076567203022,,-0.06799622593101162,-0.023435791487128654,-0.04456043444388297,,,,,,,,,,,,,,,,,,-0.0011570143719767945,
4,2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,76.08555632955827,76.64149457722866,75.90024109994036,76.5537109375,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.14182557207045,76.16199855445592,,-0.02451648494275105,-0.023651930178253136,-0.0008645547644979129,,,,,,,,,,,,,,,,,,0.010167365427856678,
5,2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,76.40740982726442,76.7487815536303,76.01728346773197,76.58296966552734,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.2220335890626,76.20209104122462,,0.012162258921392777,-0.016489092358323958,0.028651351279716734,,,,,,,,,,,,,,,,,,0.0003821986899006369,
6,2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,75.6661583171163,76.19283779380231,75.33454200608462,76.0660400390625,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.19367112542622,76.18913380292346,,-0.00047598613291199854,-0.013286471113241567,0.012810484980329568,,,,,,,,,,,,,,,,,,-0.006749929243048514,
7,2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,76.06605011681636,76.4074144225291,75.59789548074852,75.92950439453125,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.14564081071804,76.1644071926004,,-0.021264053062466814,-0.014881987503086617,-0.006382065559380198,,,,,,,,,,,,,,,,,,-0.001794961910218218,
8,2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,76.0757985253333,76.79754119704236,75.84172122878661,76.6317367553711,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.23402189156404,76.20891477000713,,0.01870986121141982,-0.00816361776018533,0.02687347897160515,,,,,,,,,,,,,,,,,,0.009248478130333027,
9,2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,77.21693437988047,77.78262800580666,75.88073600282759,77.30471801757812,13428884,0.0,0.0,0.0,13719888,68.177,81.32,80.79,26.5,2.46,81.3574,84.53,75.61,0.552,16998710272,23.138485,1.1863238,210172000,80.7608,,76.42869391447569,76.3132769840615,,0.10350035215803643,0.014169176223459024,0.08933117593457741,,,,,,,,,,,,,,,,,,0.008782017617000815,
