datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-06-04 00:00:00-04:00,2024-06-04,00:00:00,1717473600,302.59924233378393,312.10498354878746,301.31198923190317,305.9658508300781,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,305.9658508300781,305.9658508300781,28.732067801417315,0.0,0.0,0.0,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,0.043365431235075524,1.4035771789972302
2024-06-05 00:00:00-04:00,2024-06-05,00:00:00,1717560000,309.5304349376712,320.0263544370351,302.99523749709283,319.23419189453125,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,308.3782764781605,307.22950236002606,28.732067801417315,1.058443161836692,0.21168863236733843,0.8467545294693537,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,0.043365431235075524,1.4035771789972302
2024-06-06 00:00:00-04:00,2024-06-06,00:00:00,1717646400,313.8872917935335,315.05569780406086,303.78743624802553,304.18353271484375,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,307.6155957939211,306.93941001286584,28.732067801417315,0.6750233322825352,0.3043555723503778,0.3706677599321574,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.04714613773157461,1.4035771789972302
2024-06-07 00:00:00-04:00,2024-06-07,00:00:00,1717732800,307.35210620887676,310.30285579387515,269.5272187724762,286.9543762207031,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,303.85901041697235,305.0360734612313,28.732067801417315,-1.0074750389210863,0.04198945009608501,-1.0494644890171712,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.056640661446627605,1.4035771789972302
2024-06-10 00:00:00-04:00,2024-06-10,00:00:00,1717992000,284.1818309863964,290.5189807557507,282.20146979485355,283.191650390625,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,300.1013085940001,302.95565221641164,28.732067801417315,-2.6143510365492943,-0.48927864723299086,-2.1250723893163035,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.013112627448428005,1.4035771789972302
2024-06-11 00:00:00-04:00,2024-06-11,00:00:00,1718078400,262.0018765138162,262.0018765138162,245.7430925712133,256.060791015625,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,292.09394176156826,298.48947495919384,28.732067801417315,-6.0077913718812965,-1.592981192162652,-4.4148101797186445,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.09580388170900023,1.4035771789972302
2024-06-12 00:00:00-04:00,2024-06-12,00:00:00,1718164800,273.48797347016176,278.0427813825788,257.64507925536134,261.0116882324219,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,286.4426229380871,294.92016193759656,28.732067801417315,-8.203061470623368,-2.9149972478547954,-5.288064222768572,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,0.019334850904583645,1.4035771789972302
2024-06-13 00:00:00-04:00,2024-06-13,00:00:00,1718251200,260.2194683081507,260.6155647509695,245.56480646133423,253.4862518310547,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,280.45055546408116,290.9740752607831,28.732067801417315,-10.429839962104495,-4.417965790704735,-6.01187417139976,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.02883179850040296,1.4035771789972302
2024-06-14 00:00:00-04:00,2024-06-14,00:00:00,1718337600,259.0312772763105,259.0312772763105,236.23731332188248,241.8021240234375,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,273.42356792941865,286.29103228579777,28.732067801417315,-12.987675585814372,-6.131907749726663,-6.8557678360877095,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,-0.04609373377537063,1.4035771789972302
2024-06-17 00:00:00-04:00,2024-06-17,00:00:00,1718596800,259.6253569357979,266.1605245082296,250.51568362587378,263.3880310058594,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,22.52093965045202,271.5989248524079,284.1097940686608,28.732067801417315,-13.121717462364643,-7.52986969225426,-5.591847770110383,313.12149043202527,259.8639801025391,206.60646977305288,7.939519143228893,17.949660464647852,-92.06048085677111,-66.15290129891541,41.742358613381114,14.571901123658648,45.58129967596239,-15203660.0,320.0263544370351,267.64581104316005,215.26526764928508,299.9356688737924,259.80919063876075,219.6827124037291,0.0892709568602863,1.4035771789972302
